GRID_API_READY
GRID_WS_OK
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80562.5 spread=8.5 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80562.5 spread=8.490000000005239 source=WS
GRID_MARKET_UPDATE bid=80554.01 ask=80559.86 spread=5.850000000005821 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80559.86 spread=5.860000000000582 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80559.86 spread=5.860000000000582 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80559.86 spread=5.860000000000582 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80567.3 spread=13.30000000000291 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80559.23 spread=5.2299999999959255 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80567.3 spread=13.30000000000291 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80559.22 spread=5.220000000001164 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80559.22 spread=5.220000000001164 source=WS
GRID_MARKET_UPDATE bid=80554.0 ask=80559.22 spread=5.220000000001164 source=WS
GRID_MARKET_UPDATE bid=80552.78 ask=80559.22 spread=6.440000000002328 source=WS
GRID_MARKET_UPDATE bid=80552.78 ask=80559.22 spread=6.440000000002328 source=WS
GRID_MARKET_UPDATE bid=80552.78 ask=80559.22 spread=6.440000000002328 source=WS
GRID_LEVEL_CREATE idx=0 buy=80500.00000000 sell=80505.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=1 buy=80505.00000000 sell=80510.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=2 buy=80510.00000000 sell=80515.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=3 buy=80515.00000000 sell=80520.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=4 buy=80520.00000000 sell=80525.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=5 buy=80525.00000000 sell=80530.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=6 buy=80530.00000000 sell=80535.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=7 buy=80535.00000000 sell=80540.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=8 buy=80540.00000000 sell=80545.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=9 buy=80545.00000000 sell=80550.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=10 buy=80550.00000000 sell=80555.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=11 buy=80555.00000000 sell=80560.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=12 buy=80560.00000000 sell=80565.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=13 buy=80565.00000000 sell=80570.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=14 buy=80570.00000000 sell=80575.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=15 buy=80575.00000000 sell=80580.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=16 buy=80580.00000000 sell=80585.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=17 buy=80585.00000000 sell=80590.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=18 buy=80590.00000000 sell=80595.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=19 buy=80595.00000000 sell=80600.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=20 buy=80600.00000000 sell=80605.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=21 buy=80605.00000000 sell=80610.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=22 buy=80610.00000000 sell=80615.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=23 buy=80615.00000000 sell=80620.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=24 buy=80620.00000000 sell=80625.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=25 buy=80625.00000000 sell=80630.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=26 buy=80630.00000000 sell=80635.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=27 buy=80635.00000000 sell=80640.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=28 buy=80640.00000000 sell=80645.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=29 buy=80645.00000000 sell=80650.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=30 buy=80650.00000000 sell=80655.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=31 buy=80655.00000000 sell=80660.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=32 buy=80660.00000000 sell=80665.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=33 buy=80665.00000000 sell=80670.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=34 buy=80670.00000000 sell=80675.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=35 buy=80675.00000000 sell=80680.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=36 buy=80680.00000000 sell=80685.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=37 buy=80685.00000000 sell=80690.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=38 buy=80690.00000000 sell=80695.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=39 buy=80695.00000000 sell=80700.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=40 buy=80700.00000000 sell=80705.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=41 buy=80705.00000000 sell=80710.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=42 buy=80710.00000000 sell=80715.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=43 buy=80715.00000000 sell=80720.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=44 buy=80720.00000000 sell=80725.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=45 buy=80725.00000000 sell=80730.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=46 buy=80730.00000000 sell=80735.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=47 buy=80735.00000000 sell=80740.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=48 buy=80740.00000000 sell=80745.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=49 buy=80745.00000000 sell=80750.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=50 buy=80750.00000000 sell=80755.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=51 buy=80755.00000000 sell=80760.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=52 buy=80760.00000000 sell=80765.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=53 buy=80765.00000000 sell=80770.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=54 buy=80770.00000000 sell=80775.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=55 buy=80775.00000000 sell=80780.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=56 buy=80780.00000000 sell=80785.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=57 buy=80785.00000000 sell=80790.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=58 buy=80790.00000000 sell=80795.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=59 buy=80795.00000000 sell=80800.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=60 buy=80800.00000000 sell=80805.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=61 buy=80805.00000000 sell=80810.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=62 buy=80810.00000000 sell=80815.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=63 buy=80815.00000000 sell=80820.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=64 buy=80820.00000000 sell=80825.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=65 buy=80825.00000000 sell=80830.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=66 buy=80830.00000000 sell=80835.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=67 buy=80835.00000000 sell=80840.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=68 buy=80840.00000000 sell=80845.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=69 buy=80845.00000000 sell=80850.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=70 buy=80850.00000000 sell=80855.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=71 buy=80855.00000000 sell=80860.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=72 buy=80860.00000000 sell=80865.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=73 buy=80865.00000000 sell=80870.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=74 buy=80870.00000000 sell=80875.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=75 buy=80875.00000000 sell=80880.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=76 buy=80880.00000000 sell=80885.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=77 buy=80885.00000000 sell=80890.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=78 buy=80890.00000000 sell=80895.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=79 buy=80895.00000000 sell=80900.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=80 buy=80900.00000000 sell=80905.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=81 buy=80905.00000000 sell=80910.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=82 buy=80910.00000000 sell=80915.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=83 buy=80915.00000000 sell=80920.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=84 buy=80920.00000000 sell=80925.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=85 buy=80925.00000000 sell=80930.00000000 qty=0.00037000
GRID_LEVEL_CREATE idx=86 buy=80930.00000000 sell=80935.00000000 qty=0.00037000
